//header file 		SINGLE-LINE COMMENT

#include<stdio.h> 	PRE-PROCESSOR DIRECTIVE

/* start
of main
function*/ 		MULTI-LINE COMMENT

int 			KEYWORD
main 			KEYWORD
( 			OPENING BRACKET
) 			CLOSING BRACKET

{ 			OPENING BRACES
   
//local variables 	SINGLE-LINE COMMENT

int 			KEYWORD
n 			IDENTIFIER
; 			SEMICOLON DELIMITER

printf			OUTPUT FUNCTION
(			OPENING BRACKET
"Enter the number n\n"	STRING CONSTANT
)			CLOSING BRACKET
;			SEMICOLON DELIMITER

scanf 			INPUT FUNCTION
( 			OPENING BRACKET
"%d" 			FORMAT SPECIFIER
, 			COMMA DELIMITER
& 			OPERATOR
n 			IDENTIFIER
) 			CLOSING BRACKET
; 			SEMICOLON DELIMITER

printf			OUTPUT FUNCTION
(			OPENING BRACKET
"The number is %d\n"	STRING CONSTANT
,			COMMA DELIMITER
n			IDENTIFIER
)			CLOSING BRACKET
;			SEMICOLON DELIMITER

for 			LOOPING STATEMENT
( 			OPENING BRACKET
i 			IDENTIFIER
= 			OPERATOR
0 			NUMERIC CONSTANT
; 			SEMICOLON DELIMITER
i 			IDENTIFIER
< 			OPERATOR
n 			IDENTIFIER
; 			SEMICOLON DELIMITER
i 			IDENTIFIER
++ 			INCREMENT OPERATOR
) 			CLOSING BRACKET

{ 			OPENING BRACES

for 			LOOPING STATEMENT
( 			OPENING BRACKET
j 			IDENTIFIER
= 			OPERATOR
0 			NUMERIC CONSTANT
; 			SEMICOLON DELIMITER
j 			IDENTIFIER
< 			OPERATOR
i 			IDENTIFIER
; 			SEMICOLON DELIMITER
j 			IDENTIFIER
++ 			INCREMENT OPERATOR
) 			CLOSING BRACKET

{ 			OPENING BRACES

printf			OUTPUT FUNCTION
(			OPENING BRACKET
"Okay\n"		STRING CONSTANT
)			CLOSING BRACKET
;			SEMICOLON DELIMITER

} 			CLOSING BRACES

} 			CLOSING BRACES

if 			CONDITIONAL STATEMENT
( 			OPENING BRACKET
i 			IDENTIFIER
== 			OPERATOR
n 			IDENTIFIER
) 			CLOSING BRACKET

{ 			OPENING BRACES

if 			CONDITIONAL STATEMENT
( 			OPENING BRACKET
j 			IDENTIFIER
== 			OPERATOR
n 			IDENTIFIER
) 			CLOSING BRACKET

{ 			OPENING BRACES

printf			OUTPUT FUNCTION
(			OPENING BRACKET
"Let's Loop!"		STRING CONSTANT
)			CLOSING BRACKET
;			SEMICOLON DELIMITER

} 			CLOSING BRACES

} 			CLOSING BRACES

} 			CLOSING BRACES
